time, Quad.IMU.AX
3.704914,-1.075682
3.709913,1.394572
3.714913,0.673443
3.719913,-0.315381
3.724912,0.255956
3.729912,0.039083
3.734912,0.151617
3.739911,-0.544733
3.744911,0.441987
3.749911,0.545298
3.754910,0.351352
3.759910,-0.283583
3.764910,0.538358
3.769909,0.009144
3.774909,0.541357
3.779908,0.201188
3.784908,-0.686706
3.789908,0.868805
3.794907,0.252224
3.799907,0.234891
3.804907,1.113523
3.809906,-0.978422
3.814906,-0.118694
3.819906,-0.630606
3.824905,0.558093
3.829905,-0.272369
3.834904,-0.572598
3.839904,-0.553585
3.844904,0.794015
3.849903,0.943452
3.854903,-0.224351
3.859903,-0.575620
3.864902,0.148381
3.869902,0.148366
